Competition_Name__c,Season_Name__c,Home_Team_Name__c,Away_Team_Name__c,Match_Date_Time__c,Status__c,Home_Score_Final__c,Away_Score_Final__c,Venue__c,Attendance__c
UEFA Champions League 2024-25,2024-2025,Arsenal,Monaco,2024-12-11T20:00:00Z,Finished,3,0,Emirates Stadium,60278
UEFA Champions League 2024-25,2024-2025,Aston Villa,RB Leipzig,2024-12-10T20:00:00Z,Finished,3,2,Villa Park,41905
UEFA Champions League 2024-25,2024-2025,AC Milan,Crvena Zvezda,2024-12-11T20:00:00Z,Finished,2,1,San Siro,56912
UEFA Champions League 2024-25,2024-2025,Atalanta,Real Madrid,2024-12-10T20:00:00Z,Finished,2,3,Gewiss Stadium,22378
UEFA Champions League 2024-25,2024-2025,Barcelona,Borussia Dortmund,2024-12-11T20:00:00Z,Finished,3,2,Camp Nou,48502
UEFA Champions League 2024-25,2024-2025,Bayern München,Shakhtar Donetsk,2024-12-10T20:00:00Z,Finished,5,1,Allianz Arena,75000
UEFA Champions League 2024-25,2024-2025,Inter Milan,Bayer Leverkusen,2024-12-10T20:00:00Z,Finished,6,0,San Siro,70123
UEFA Champions League 2024-25,2024-2025,Juventus,Manchester City,2024-12-11T20:00:00Z,Finished,2,0,Allianz Stadium,40736
UEFA Champions League 2024-25,2024-2025,Liverpool,Girona,2024-12-10T20:00:00Z,Finished,1,0,Anfield,59762
UEFA Champions League 2024-25,2024-2025,Paris Saint-Germain,RB Salzburg,2024-12-10T20:00:00Z,Finished,3,0,Parc des Princes,47826
UEFA Champions League 2024-25,2024-2025,Sporting CP,Club Brugge,2024-12-10T17:45:00Z,Finished,2,1,José Alvalade Stadium,39000
UEFA Champions League 2024-25,2024-2025,Celtic,Young Boys,2024-12-11T17:45:00Z,Finished,1,0,Celtic Park,58793
UEFA Champions League 2024-25,2024-2025,Bologna,Lille,2024-12-10T17:45:00Z,Finished,1,2,Stadio Renato Dall'Ara,27500
UEFA Champions League 2024-25,2024-2025,GNK Dinamo Zagreb,Celtic,2024-12-10T17:45:00Z,Finished,0,0,Maksimir Stadium,20134

