Player_Name__c,Team_Name__c,Competition_Name__c,Appearances__c,Starts__c,Goals__c,Assists__c,Minutes_Played__c,Yellow_Cards__c,Red_Cards__c
Serhou Guirassy,Borussia Dortmund,UEFA Champions League 2024-25,8,8,13,1,698,1,0
Raphinha,Barcelona,UEFA Champions League 2024-25,8,8,13,2,694,0,0
Robert Lewandowski,Barcelona,UEFA Champions League 2024-25,8,8,10,2,677,0,0
Viktor Gyökeres,Sporting CP,UEFA Champions League 2024-25,8,8,10,1,720,1,0
Harry Kane,Bayern München,UEFA Champions League 2024-25,8,8,9,4,686,0,0
Vinicius Junior,Real Madrid,UEFA Champions League 2024-25,8,8,9,3,701,2,0
Kylian Mbappé,Real Madrid,UEFA Champions League 2024-25,8,7,7,1,618,1,0
Lautaro Martinez,Inter Milan,UEFA Champions League 2024-25,8,7,7,2,592,0,0
Julián Alvarez,Atlético Madrid,UEFA Champions League 2024-25,8,8,6,2,716,1,0
Florian Wirtz,Bayer Leverkusen,UEFA Champions League 2024-25,8,8,6,5,709,0,0

