Player_Name__c,Team_Name__c,Competition_Name__c,Appearances__c,Starts__c,Goals__c,Assists__c,Minutes_Played__c,Yellow_Cards__c,Red_Cards__c
Mohamed Salah,Liverpool,Premier League 2024-25,17,17,15,11,1458,1,0
Erling Haaland,Manchester City,Premier League 2024-25,18,18,13,1,1539,2,0
Cole Palmer,Chelsea,Premier League 2024-25,17,17,11,6,1486,2,0
Alexander Isak,Newcastle United,Premier League 2024-25,16,16,10,3,1398,1,0
Ollie Watkins,Aston Villa,Premier League 2024-25,17,15,9,6,1347,2,0
Bryan Mbeumo,Brentford,Premier League 2024-25,17,17,8,2,1530,3,0
Chris Wood,Nottingham Forest,Premier League 2024-25,17,17,8,0,1486,2,0
Nicolas Jackson,Chelsea,Premier League 2024-25,16,14,7,3,1256,1,0
Bukayo Saka,Arsenal,Premier League 2024-25,15,15,7,10,1289,1,0
Jarrod Bowen,West Ham United,Premier League 2024-25,17,17,7,3,1512,4,0

