Team_Name__c,Competition_Name__c,Matches_Played__c,Wins__c,Draws__c,Losses__c,Goals_For__c,Goals_Against__c,Goal_Difference__c,Points__c,League_Position__c,Form_Last_5__c
Liverpool,Premier League 2024-25,16,13,2,1,39,15,24,41,1,WWWDW
Arsenal,Premier League 2024-25,17,12,3,2,38,17,21,39,2,WDWLW
Chelsea,Premier League 2024-25,17,11,4,2,37,19,18,37,3,WWWDD
Nottingham Forest,Premier League 2024-25,17,10,4,3,24,13,11,34,4,WWLWW
Newcastle United,Premier League 2024-25,17,9,4,4,30,18,12,31,5,WWDWW
Aston Villa,Premier League 2024-25,17,9,3,5,26,25,1,30,6,LWLWL
Manchester City,Premier League 2024-25,17,8,3,6,28,24,4,27,7,LLWLW
AFC Bournemouth,Premier League 2024-25,17,7,5,5,26,21,5,26,8,WLWDW
Brighton & Hove Albion,Premier League 2024-25,17,6,7,4,26,24,2,25,9,LDWDL
Fulham,Premier League 2024-25,17,6,7,4,24,22,2,25,10,DDDDD
Brentford,Premier League 2024-25,17,7,3,7,31,28,3,24,11,LWLWL
Tottenham Hotspur,Premier League 2024-25,17,7,2,8,36,20,16,23,12,WDWLL
Manchester United,Premier League 2024-25,17,6,4,7,21,21,0,22,13,WLLWW
West Ham United,Premier League 2024-25,17,5,5,7,20,28,-8,20,14,LDLDD
Crystal Palace,Premier League 2024-25,17,4,7,6,20,24,-4,19,15,WLDWL
Everton,Premier League 2024-25,16,3,7,6,14,21,-7,16,16,WDDWD
Wolverhampton Wanderers,Premier League 2024-25,17,3,4,10,27,38,-11,13,17,LLWLL
Leicester City,Premier League 2024-25,17,3,4,10,21,37,-16,13,18,WLLLW
Ipswich Town,Premier League 2024-25,17,2,6,9,16,30,-14,12,19,LWLWD
Southampton,Premier League 2024-25,17,1,3,13,11,36,-25,6,20,LLDLL

